"El Catálogo Nacional de Códigos Postales, es elaborado por Correos de México y se proporciona en forma gratuita para uso particular, no estando permitida su comercialización, total o parcial, ni su distribución a terceros bajo ningún concepto.",,,,,,
Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento,Clave de Oficina
25000,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Saltillo Centro,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Vista Hermosa,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,La Fuente,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Privada la Misión,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Privada la Campana,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nuevo Saltillo,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada de San Javier,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Solidaridad,25001
25010,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Parajes de la Sierra,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,15 de Septiembre,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Villa Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Milenio,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Monte del Sinaí,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Cordillera,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,La Cascada,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ampliación Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Amistad,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Morelos Nueva Creación,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Balcones de Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle de Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Zona industrial,Parque Industrial Amistad,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Privada Morelos,25001
25013,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Colibrí,25001
25014,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,10 de Abril,25001
25014,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,San Pedro de los Pinos,25001
25014,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Cecilia Ocelli de Salinas,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Fundadores,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,El Pedregal,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Fuentes del Pedregal,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Edgar Puente,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Vida,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Villa de Santiago,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas del Pedregal,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Lomas de Zapaliname,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Valle de las Aves,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Salomón Abedrop,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas de San Francisco,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Independencia,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nuevo Progreso,25001
25015,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Introductores de Ganado,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Ignacio Zaragoza,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Residencial los Rosales,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Colinas de Santiago,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Popular Loma Blanca,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Sierra Alta Residencial,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Prados de San José,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Tres Vientos,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle de los Almendros,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada Villas de San José,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Nuevo Valle de los Almendros,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Ciudad Mirasierra,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Lomas del Bosque,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Puerta del Oriente,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privadas la Torre,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada los Magueyes,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Loma Linda,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Gaspar Valdez,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Real del Sol,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Recreativo Sección 38,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Francisco I Madero Rústico,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Nuevo Mirasierra,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privadas Sierras del Oriente,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Sierra Blanca,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Misión Cerritos,25001
25016,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Santa Lucía,25001
25017,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Ampliación Valle de Morelos,25001
25017,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Morelos,25001
25017,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ampliación Morelos Segundo Sector,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Conquistadores,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada Nogal I,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Nogalera,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Cerrito,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Tlaxcala,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Rubén Jaramillo,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Tierra y Libertad,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Morita,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Imagen,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Ejido,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,El Nogalar,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nuevo Amanecer,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Las Candelarias,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Postal Cerritos,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,San José,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Los Lirios,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Candelarias Residencial,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Santa María,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Las Maravillas,25001
25019,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Villa Fundadores,25001
25020,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Provivienda,25001
25020,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,San Ramón,25001
25020,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Urdiñola,25001
25020,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Zapaliname,25001
25020,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Indio,25001
25020,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,San Esteban,25001
25020,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Valle de San Ramón,25001
25022,Coahuila de Zaragoza,Saltillo,Saltillo,Equipamiento,Centro Metropolitano,25001
25022,Coahuila de Zaragoza,Saltillo,Saltillo,Equipamiento,Parque las Maravillas,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Universidad Pueblo,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Montevista,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Cantabria,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Esperanza,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Palma,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Paraíso,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,San Vicente,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Arboledas Popular,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Loma Bonita,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Valle de las Palmas,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle de Santa Elena,25001
25023,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,La Rosaleda,25001
25030,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Agua Azul,25001
25030,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Arcos de Belén,25001
25030,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,González Cepeda,25001
25030,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Loma de Santa Anita,25001
25034,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Magisterio Sección 38,25001
25034,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Santa Anita,25001
25034,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Esther Santos,25001
25036,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Huertas de Venancio,25001
25038,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Condesa,25001
25038,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ampliación San Ramón,25001
25039,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Deimos,25001
25040,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ojo de Agua,25001
25040,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,San Lorenzo,25001
25040,Coahuila de Zaragoza,Saltillo,Saltillo,Barrio,Barrio Santa Anita,25001
25040,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Viramontes,25001
25040,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Balcones de Bellavista,25001
25043,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Héroes de Chapultepec,25001
25045,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Zapateros,25001
25045,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Portal de Santiago,25001
25047,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Los Álamos,25001
25048,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Burócratas del Estado,25001
25048,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas de Chapultepec,25001
25049,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Santa María,25001
25049,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Simón Bolívar,25001
25049,Coahuila de Zaragoza,Saltillo,Saltillo,Barrio,Águila de Oro,25001
25050,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Benito Juárez,25001
25050,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,María del Carmen Cabello,25001
25050,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Centenario,25001
25050,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Chapultepec,25001
25050,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Madrid,25001
25050,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Rosa María Gutiérrez,25001
25056,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Salvador,25001
25057,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,El Volcán,25001
25057,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Los Nogales,25001
25057,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Jesús Cabello,25001
25057,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas de San Javier,25001
25057,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Colinas de San Francisco,25001
25057,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,La Herradura,25001
25057,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Los Nogales II,25001
25057,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Parajes de Oriente,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Bellavista,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Unidad habitacional,Francisco I Madero,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Segovia Gil,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lázaro Cárdenas,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Los Arcos,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lucio Blanco,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Miravalle,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,San Lorenzo Oriente,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Luis Donaldo Colosio,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Acueducto,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Central,25001
25060,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Bellavista Mesa de Arizpe,25001
25065,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Huertas de San Lorenzo,25001
25065,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,15 de Abril,25001
25065,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Cerrada San Lorenzo,25001
25065,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Jesús García Corona,25001
25065,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Patria Libre,25001
25065,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Reforma,25001
25067,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Quinta Valle,25001
25068,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Quinta Esmeralda,25001
25069,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Villa Universidad,25001
25069,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Valle de Lourdes,25001
25069,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Las Haciendas,25001
25070,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Landin,25001
25070,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas de Guadalupe,25001
25070,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lourdes,25001
25070,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada Obregón Sur,25001
25070,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Balcones de Landin,25001
25070,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Lomas de Landín,25001
25070,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada Rincón de Salazar,25001
25075,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,26 de Marzo,25001
25075,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ferrocarrilero 7 de Noviembre,25001
25076,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Buenos Aires,25001
25077,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Los Balcones de Buenavista,25001
25077,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Valle Alto,25001
25080,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Eulalio Gutiérrez Treviño,25001
25080,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Girasol,25001
25080,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Parques de la Cañada,25001
25080,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Froylán Mier Narro,25001
25080,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Los Periodistas,25001
25083,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Refugio la Soledad,25001
25083,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Hacienda del Refugio,25001
25083,Coahuila de Zaragoza,Saltillo,Saltillo,Zona industrial,Parque Industrial la Angostura,25001
25083,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Sierra del Sur,25001
25083,Coahuila de Zaragoza,Saltillo,Saltillo,Equipamiento,Hacienda el Mimbre,25001
25083,Coahuila de Zaragoza,Saltillo,Saltillo,Zona industrial,Amistad Alianzas,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas del Sur,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Valle de San Lorenzo,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Estrella,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Zona militar,69 Batallón de Infantería,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Las Teresitas,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Niños Héroes,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Lomas del Refugio,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Las Rosas,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Colinas de San Lorenzo,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Parajes de Santa Elena,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Hacienda las Isabeles,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Villas de la Angostura,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Ampliación la Estrella,25001
25084,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Nuevo Teresitas,25001
25085,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Guadalupe Victoria,25001
25085,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Rincón de Foret,25001
25085,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Foret,25001
25085,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Genaro Vázquez Rojas,25001
25085,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Latifundio,25001
25086,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Burócratas Municipales,25001
25086,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ampliación 26 de Marzo,25001
25086,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privada Colombia,25001
25087,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ampliación Girasol,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Hacienda Narro,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Villas de San Francisco,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Viñedos el Álamo,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Agua Nueva,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ricardo Flores Magón,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nueva Jerusalén,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Álamo,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,23 de Noviembre,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Progreso,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,María del Carmen Cavazos,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Australia,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,12 de Octubre,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Esperanza,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,San Juanita,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,El Álamo II,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Mario Ortiz Rodríguez,25001
25088,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,El Álamo,25001
25090,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas de Lourdes,25001
25090,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle Dorado,25001
25092,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas de Santa Cruz,25001
25092,Coahuila de Zaragoza,Saltillo,Saltillo,Unidad habitacional,Humberto Dávila Esquivel,25001
25092,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Villas de San Lorenzo,25001
25092,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Las Huertas de Lourdes,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Santa Mónica,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Los Buitres,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Colinas del Sur,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,10 de Mayo,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Hacienda el Cortijo,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Mesa de Lourdes,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Portal del Sur,25001
